source_label,economic_class,suggested_transformation,approved_transformation,unit,source_file,source_vendor,source_field,availability_timestamp_or_timezone,availability_lag_trading_days,missing_value_rule,sentinel_value_rule,observed_start,observed_end,observations,missing_fraction,nonpositive_observations,pilot_eligible,pilot_exclusion_reason,confirmatory_eligible,exclusion_reason,reviewed_by,reviewed_on
BEIG1T,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
BONOS Y OBLIG DEL ESTADO,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
BRAZIL IBOVESPA INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
BUONI POLIENNALI DEL TES,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Brazilian Real Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
British Pound Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
CAC 40 INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
CAD-CHF X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
CAD-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
CHF-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
CSI 300 INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-07-03,5815,0.009538409129620166,264,True,,True,,Rule-based audit,2026-09-03
Canadian Dollar Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Cboe Volatility Index,volatility_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Corporate,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Credit,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5870,0.00017032873445750298,0,True,,True,,Rule-based audit,2026-09-03
DAX INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
DB Euro Overnight Rate,money_market_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5870,0.00017032873445750298,0,True,,True,,Rule-based audit,2026-09-03
DOLLAR INDEX SPOT,currency_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EM USD Aggregate,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR SWAP ANN (VS 6M) 10Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,362,True,,True,,Rule-based audit,2026-09-03
EUR SWAP ANN (VS 6M) 1Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,1684,True,,True,,Rule-based audit,2026-09-03
EUR SWAP ANN (VS 6M) 2Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,1639,True,,True,,Rule-based audit,2026-09-03
EUR SWAP ANN (VS 6M) 30Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,98,True,,True,,Rule-based audit,2026-09-03
EUR SWAP ANN (VS 6M) 5Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,801,True,,True,,Rule-based audit,2026-09-03
EUR-AUD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR-CAD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR-CHF X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR-CNY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5869,0.00034065746891500596,0,True,,True,,Rule-based audit,2026-09-03
EUR-CZK X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR-GBP X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR-NOK X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR-PLN X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
EUR-SEK X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Eonia Capitalization Index 7 D,discontinued_or_truncated_market_series,EXCLUDE,EXCLUDE,source level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-07-03,5869,0.00034065746891500596,146,False,Series becomes a persistent -1 sentinel after December 2022.,False,Series becomes a persistent -1 sentinel after December 2022.,Rule-based audit,2026-09-03
Euro Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
Euro-Aggregate,bond_or_credit_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5817,0.009197751660705161,0,True,,True,,Rule-based audit,2026-09-03
FRANCE (GOVT OF),sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,267,True,,True,,Rule-based audit,2026-09-03
FTSE 100 INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
FTSE MIB INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
GBP-AUD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
GBP-CAD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,,True,,Rule-based audit,2026-09-03
GERMANY GOVT BND 10 YR DBR,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,799,True,,True,,Rule-based audit,2026-09-03
GERMANY GOVT BND 2 YR BKO,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,2081,True,,True,,Rule-based audit,2026-09-03
GERMANY GOVT BND 5 YR OBL,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,1720,True,,True,,Rule-based audit,2026-09-03
Generic 1st 'C ' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'CF' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
Generic 1st 'CO' Future,generic_future,LOG_DIFFERENCE,LOG_DIFFERENCE,contract quotation,Drivers_Assets_Dataset.xlsx,Bloomberg,PX_LAST,Bloomberg market close observation; predictive analyses use the predeclared asset-specific lag,1,"Carry PX_LAST for at most three source rows across local-market closures, then transform on the target asset calendar; declared sentinels and longer outages remain missing",No numeric sentinel declared.,2001-01-01,2023-07-03,5815,0.009538409129620166,0,True,Bloomberg Generic 1st PX_LAST; roll dates are monitored in robustness checks.,True,,Rule-based audit,2026-09-03
