source_label,economic_class,suggested_transformation,approved_transformation,unit,source_file,source_vendor,source_field,availability_timestamp_or_timezone,availability_lag_trading_days,missing_value_rule,sentinel_value_rule,observed_start,observed_end,observations,missing_fraction,nonpositive_observations,pilot_eligible,pilot_exclusion_reason,confirmatory_eligible,exclusion_reason,reviewed_by,reviewed_on,pilot_applied_lag_asset_sessions
British Pound Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,British Pound Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
CAC 40 INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,CAC 40 INDEX,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
CAD-CHF X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,CAD-CHF X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
CAD-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,CAD-JPY X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
CHF-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,CHF-JPY X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
CSI 300 INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,CSI 300 INDEX,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-06-30,5814,0.009540034071550256,264,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Canadian Dollar Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Canadian Dollar Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Cboe Volatility Index,volatility_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Cboe Volatility Index,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Corporate,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Corporate,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Credit,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Credit,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5869,0.00017035775127768313,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
DAX INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,DAX INDEX,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
DB Euro Overnight Rate,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,DB Euro Overnight Rate,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5869,0.00017035775127768313,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
DOLLAR INDEX SPOT,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,DOLLAR INDEX SPOT,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EM USD Aggregate,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EM USD Aggregate,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR SWAP ANN (VS 6M) 10Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR SWAP ANN (VS 6M) 10Y,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,362,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR SWAP ANN (VS 6M) 1Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR SWAP ANN (VS 6M) 1Y,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,1684,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR SWAP ANN (VS 6M) 2Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR SWAP ANN (VS 6M) 2Y,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,1639,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR SWAP ANN (VS 6M) 30Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR SWAP ANN (VS 6M) 30Y,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,98,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR SWAP ANN (VS 6M) 5Y,swap_rate,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR SWAP ANN (VS 6M) 5Y,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,801,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-AUD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-AUD X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-CAD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-CAD X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-CHF X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-CHF X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-CNY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-CNY X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5868,0.00034071550255536625,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-CZK X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-CZK X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-GBP X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-GBP X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-JPY X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-JPY X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-NOK X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-NOK X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-PLN X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-PLN X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
EUR-SEK X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,EUR-SEK X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Eonia Capitalization Index 7 D,discontinued_or_truncated_market_series,EXCLUDE,EXCLUDE,source level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Eonia Capitalization Index 7 D,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,Exact -1 is a missing-value sentinel; no fill.,2001-01-01,2023-06-30,5868,0.00034071550255536625,145,False,Series becomes a persistent -1 sentinel after December 2022.,False,Series becomes a persistent -1 sentinel after December 2022.,Rule-based audit,2026-09-03,0
Euro Spot,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Euro Spot,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
Euro-Aggregate,bond_or_credit_total_return_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,Euro-Aggregate,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5816,0.009199318568994889,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
FRANCE (GOVT OF),sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,FRANCE (GOVT OF),Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,267,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
FTSE 100 INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,FTSE 100 INDEX,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
FTSE MIB INDEX,equity_index,LOG_DIFFERENCE,LOG_DIFFERENCE,index level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,FTSE MIB INDEX,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
GBP-AUD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,GBP-AUD X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
GBP-CAD X-RATE,foreign_exchange,LOG_DIFFERENCE,LOG_DIFFERENCE,exchange-rate level,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,GBP-CAD X-RATE,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,0,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
GERMANY GOVT BND 10 YR DBR,sovereign_yield,DIFFERENCE,DIFFERENCE,percentage points,Drivers_Assets_Dataset.xlsx,USER_SUPPLIED_EXPORT_VENDOR_NOT_DOCUMENTED,GERMANY GOVT BND 10 YR DBR,Contemporaneous daily close alignment; exact timestamp not supplied (pilot only),1,No fill; adjacent valid source observations required,No numeric sentinel declared.,2001-01-01,2023-06-30,5814,0.009540034071550256,799,True,,False,Pilot only: vendor field and observation timestamp are not supplied.,Rule-based audit,2026-09-03,0
